product_name,drug_varient,product_photo_url,product_url,final_price,original_price,offer,is_in_stock
1Mile Pulse Oximeter - Blue,Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/918867/1mile_pulse_oximeter_blue_0_0.jpg,https://www.netmeds.com/non-prescriptions/1mile-pulse-oximeter-blue-1s,"Rs. 1,125.00","Rs. 4,500.00",75% OFF,True
Tri-Activ Instant Hand Sanitizer 500 ml,Mfr: Piramal Healthcare Ltd,https://www.netmeds.com/images/product-v1/150x150/910016/tri_activ_instant_hand_sanitizer_500_ml_0_1.jpg,https://www.netmeds.com/non-prescriptions/tri-activ-instant-hand-sanitizer-500-ml,Rs. 237.50,Rs. 250.00,5% OFF,True
Medisales PPE Kit,Mfr: Medisales,https://www.netmeds.com/images/product-v1/150x150/910025/medisales_ppe_kit_0_0.jpg,https://www.netmeds.com/non-prescriptions/medisales-ppe-kit-1s,Rs. 974.35,"Rs. 1,499.00",35% OFF,True
Canyearn Medical Infrared Thermometer,Mfr: Canyearn,https://www.netmeds.com/images/product-v1/150x150/908302/canyearn_medical_infrared_thermometer_0_0.jpg,https://www.netmeds.com/non-prescriptions/canyearn-medical-infrared-thermometer-1s,"Rs. 4,205.00","Rs. 14,500.00",71% OFF,True
Cura Home Sanitizer 500 ml,Mfr: CURA PHARMACEUTICALS,https://www.netmeds.com/images/product-v1/150x150/909365/cura_home_sanitizer_500_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/cura-home-sanitizer-500-ml,Rs. 250.00,None,None,True
Sahyog Wellness Multi Function Non-Contact Body & Object Infrared Thermometer,Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/902221/sahyog_wellness_multi_function_non_contact_body_object_infrared_thermometer_0_1.jpg,https://www.netmeds.com/non-prescriptions/sahyog-wellness-multi-function-non-contact-body-object-infrared-thermometer,"Rs. 2,159.76","Rs. 8,999.00",76% OFF,True
Avis Kabasura Kudineer Chooranam 100 gm,Mfr: Avis Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/909384/avis_kabasura_kudineer_chooranam_100_gm_0_0.jpg,https://www.netmeds.com/non-prescriptions/avis-kabasura-kudineer-chooranam-100-gm,Rs. 154.80,Rs. 180.00,14% OFF,True
Avis Kabasura Kudineer Chooranam 50 gm,Mfr: Avis Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/909383/avis_kabasura_kudineer_chooranam_50_gm_0_0.jpg,https://www.netmeds.com/non-prescriptions/avis-kabasura-kudineer-chooranam-50-gm,Rs. 95.00,None,None,True
Kapiva Wild Tulsi Giloy Juice 1 ltr,Mfr: Adret Retail Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/821332/kapiva_tulsi_giloy_juice_1_ltr_0_2.jpg,https://www.netmeds.com/non-prescriptions/kapiva-tulsi-giloy-juice-1-l-1l,Rs. 320.00,Rs. 400.00,20% OFF,True
Sahyog Wellness Digital Thermometer,Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/902225/sahyog_wellness_digital_thermometer_0_0.jpg,https://www.netmeds.com/non-prescriptions/sahyog-wellness-digital-thermometer-1s,Rs. 105.00,Rs. 250.00,58% OFF,True
Lama Giloy ghanbati Tablet 60's,Mfr: Lama Pharmaceuticals,https://www.netmeds.com/images/product-v1/150x150/915684/lama_giloy_ghanbati_tablet_60s_0_0.jpg,https://www.netmeds.com/non-prescriptions/lama-giloy-ghanbati-tablet-60s,Rs. 75.00,Rs. 100.00,25% OFF,True
Cura Hand Sanitizer 200 ml,Mfr: CURA PHARMACEUTICALS,https://www.netmeds.com/images/product-v1/150x150/907575/cura_hand_sanitizer_200_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/cura-hand-sanitizer-200-ml,Rs. 100.00,None,None,True
Cura Hand Sanitizer 100 ml,Mfr: CURA PHARMACEUTICALS,https://www.netmeds.com/images/product-v1/150x150/907574/cura_hand_sanitizer_100_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/cura-hand-sanitizer-100-ml,Rs. 50.00,None,None,True
Dabur Chyawanprash Awaleha 1kg,Mfr: Dabur India Ltd,https://www.netmeds.com/images/product-v1/150x150/313682/dabur_chyawanprash_1_kg_0.jpg,https://www.netmeds.com/non-prescriptions/dabur-chyawanprash-1kg,Rs. 349.00,None,None,True
INLIFE Ashwagandha Ghan Capsules 60's,Mfr: Inlife Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/858522/inlife_ashwagandha_ghan_capsules_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/inlife-ashwagandha-extract-500-mg-capsule-60-s,Rs. 274.45,Rs. 499.00,45% OFF,True
Floh Anti Bacterial Face Mask - K N95 (Pack of 20),Mfr: Huizhou Green Communication Equipment Manufacturing Co Ltd,https://www.netmeds.com/images/product-v1/150x150/910015/floh_anti_bacterial_face_mask_kn95_20s_0_0.jpg,https://www.netmeds.com/non-prescriptions/floh-anti-bacterial-face-mask-kn95-20s,"Rs. 4,000.00","Rs. 5,000.00",20% OFF,True
Dettol Hand Sanitizer - Original 50 ml,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/15129/dettol_hand_sanitizer_original_50_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dettol-original-hand-sanitizer-50ml,Rs. 25.00,None,None,True
Dabur Honey 1 kg,Mfr: Dabur India Ltd,https://www.netmeds.com/images/product-v1/150x150/840552/dabur_honey_1_kg_0_2.jpg,https://www.netmeds.com/non-prescriptions/dabur-honey-1-kg,Rs. 395.00,None,None,True
Dr. JRK's Kabasura Kudineer Chooranam 50 gm,Mfr: Dr. JRK's Research and Pharmaceuticals Pvt.Ltd,https://www.netmeds.com/images/product-v1/150x150/912280/dr_jrks_kabasura_kudineer_chooranam_50_gm_0_0.jpg,https://www.netmeds.com/non-prescriptions/dr-jrks-kabasura-kudineer-chooranam-50-gm,Rs. 95.00,None,None,True
Covid-19 Immunity + Anti Inflammatory Booster Pack (Curcumin Strips + Vitamin C Strips + Vitamin D Strips) 210's,Mfr: Bonayu Lifesciences Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/915381/covid_19_immunity_anti_inflammatory_booster_pack_curcumin_strips_vitamin_c_strips_vitamin_d_strips_210s_0_1.jpg,https://www.netmeds.com/non-prescriptions/covid-19-immunity-anti-inflammatory-booster-pack-curcumin-strips-vitamin-c-strips-vitamin-d-strips-210s,"Rs. 1,610.00","Rs. 1,750.00",8% OFF,True
Dr. JRK's Nilavembu Kudineer Churanam (Pack of 10 x 5 gm),Mfr: Dr. JRK's Research and Pharmaceuticals Pvt.Ltd,https://www.netmeds.com/images/product-v1/150x150/912281/dr_jrks_nilavembu_kudineer_churanam_pack_of_10_x_5_gm_0_0.jpg,https://www.netmeds.com/non-prescriptions/dr-jrks-nilavembu-kudineer-churanam-pack-of-10-x-5-gm-1s,Rs. 130.00,None,None,True
Covid-19 Immunity Booster Prophylactic Pack (Multivitamin For Adults Strips + Probiotics Strips) 60's,Mfr: Bonayu Lifesciences Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/915380/covid_19_immunity_booster_prophylactic_pack_multivitamin_for_adults_strips_probiotics_strips_60s_0_1.jpg,https://www.netmeds.com/non-prescriptions/covid-19-immunity-booster-prophylactic-pack-multivitamin-for-adults-strips-probiotics-strips-60s,"Rs. 1,140.80","Rs. 1,240.00",8% OFF,True
Lama Chyawanprash Awaleha Special Paste 500 gm,Mfr: Lama Pharmaceuticals,https://www.netmeds.com/images/product-v1/150x150/905920/lama_chyawanprash_awaleha_special_paste_500_gm_0_2.jpg,https://www.netmeds.com/non-prescriptions/lama-chyawanprash-awaleha-special-paste-500-gm,Rs. 138.75,Rs. 185.00,25% OFF,True
Organic India Immunity Veg Capsules 60's,Mfr: Organic India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/408365/organic_india_immunity_veg_capsules_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/organic-india-immunity-60-capsules,Rs. 202.50,Rs. 225.00,10% OFF,True
